region,transportation_type,variable,value,pred_group_1,pred_group_2,pred_group_3,pred_group_4,pred_group_5,pred_group_6,pred_group_7,pred_group_8,pred_group_9,pred_group_10,pred_group_11,pred_group_12,pred_group_13,pred_group_14,pred_group_15,pred_group_16,pred_group_17,pred_group_18,pred_group_19,pred_group_20,pred_group_21,pred_group_22,pred_group_24,pred_group_25,pred_group_26,pred_group_27,pred_group_28,pred_group_29
Brazil,walking,2021-08-28,130.55,141.62284,135.686324289989,155.430407195674,145.742596923099,121.28423812296,138,101.709977032993,130.373005361918,176.767557576326,126.0564596,193.629894309796,143.358574873954,144.822292228579,111.8033945,120.1707804,168.161409805074,134.424977351896,141.351857689361,88.7961350952382,93.7169668256707,112.953665089891,132.952902524694,112.204732440201,142.523652692557,121.2613341,119.761884770624,120.2806,182.134036144285
Brazil,walking,2021-08-29,86.32,83.57059054,119.81923301713,139.393198956952,129.205219419888,134.031697159008,144,98.8561624021401,80.8238747153059,160.288260100319,126.7259159,153.642071944445,99.0053904597957,94.8005979871641,117.059816,119.6742883,152.781531785577,117.520854509866,60.7815118315311,76.942056215751,109.306554872788,81.8352779468574,83.263868925886,98.4030147547242,121.549003127787,122.9621079,120.037223382381,125.1574,165.241706932129
Brazil,walking,2021-08-30,116.04,118.9704005,107.321442890788,141.502563030595,131.887666525836,137.836297096087,77.7,98.9346748671262,117.299474110786,162.122574446123,96.51597208,178.409375821501,114.2877241278,98.0568263713499,85.52128705,119.7133928,154.151821390763,120.338208316871,98.3543480646721,78.6157322257266,124.988856134959,96.2037429470754,118.782986300713,98.4030147547242,119.591659347812,122.0074978,119.914901964762,130.0342,124.680238735332
Brazil,walking,2021-08-31,121.19,123.0705144,119.39350849101,142.523369536381,133.405470720693,102.787126086366,120,99.3066453462433,121.597642794174,163.753009032477,111.53489,183.760789229061,131.774247631917,93.3896141721367,90.77770854,119.5998549,128.147021233611,123.155562123876,136.422298274433,78.9581177019171,125.968796433175,99.9794451550558,125.942586352574,98.4030147547242,124.297246226904,119.569116,119.903407886452,134.9109,168.321460387038
Brazil,walking,2021-09-01,126.41,122.8094451,118.271900265732,137.520861583563,134.214955950821,118.222146202714,126,99.2403821225901,121.089325772135,165.248318864142,113.3803262,184.314369853777,132.428710361843,73.8857370506693,96.03413004,119.5852919,141.476179657345,136.472636463883,113.433627339914,79.5237829111875,124.259658843059,99.7364695271224,127.097273860949,98.4030147547242,128.328244685845,119.2122986,119.929384380169,126.1213,153.819075038715
India,driving,2021-08-18,151.82,150.0348186,151.183447865516,131.647159253537,141.591445453169,159.207546396373,150,94.3898534223401,141.229296780516,115.789812497546,137.6263155,47.0277775429312,161.532090161145,165.814825237339,102.1987727,147.4489475,166.175116210232,136.947461700432,155.286158179072,89.5604289630332,142.025640579404,139.874141827164,149.772415501847,151.442382147181,154.813215910603,156.794141,84.6484258214888,107.7726,170.052031207582
India,driving,2021-08-19,159.16,153.2483619,172.249429526905,134.42587923806,144.368206796962,158.263688904122,150,94.3102631457083,144.528426852002,118.330357472822,137.6263155,48.8970847611619,165.364545996199,168.495704555554,101.6060433,147.318375,168.99738101019,139.764815507437,178.10337933245,88.0360169074776,155.227302709722,137.470524027673,149.722960839233,151.442382147181,156.42021052314,154.0803304,85.3832096088962,101.0628,168.59713144749
India,driving,2021-08-20,172.98,168.1069431,151.622636324522,140.992443278308,153.48457900126,158.132180438685,152,94.2994110989247,159.233477418172,126.198504256852,138.5742125,57.5874424774237,171.921337129301,177.445209994683,102.6592965,147.6366456,174.147599890678,142.582169314442,201.93368205951,93.6052421703296,171.760334375179,143.220567937765,155.186404139566,160.49038240439,166.79501139134,154.2405488,85.6101496782495,102.2145,183.090114761838
India,driving,2021-08-21,193.73,174.1053551,168.481275240473,144.35367700857,155.014798702512,158.630429058319,168,96.1307973451646,173.603713145324,129.470753430499,147.7047925,67.6882824391729,181.775866058071,182.740030357191,103.7125497,150.2889005,179.054608394403,145.399523121447,156.430911793264,95.4399489326766,170.390888212462,150.981140264742,171.137580169574,160.49038240439,171.725484930796,155.9961507,83.6723354531424,103.3662,166.622544284039
India,driving,2021-08-22,184.3,167.6741947,152.534846764957,128.316468769848,138.464711495828,164.167240400068,177,94.0567902904933,166.560425000967,112.841939849625,151.7321794,63.4128780144244,172.961603391294,172.727881282838,104.7658029,153.2839083,163.418751313479,128.495400279417,131.536050496979,98.9333668850575,152.467927394111,145.536359758391,165.832700397762,151.442382147181,158.718514373571,159.0690169,87.7912623798725,104.1172,169.316988516081
India,driving,2021-08-23,164.68,156.9111047,152.787009745009,130.425832843491,141.260431711373,172.753001150397,172,94.0029828830859,146.972535562488,114.526738090563,141.4348609,48.7207459593431,165.177515088232,154.650928477581,98.44628378,151.5415809,165.632824061044,131.312754086422,177.599602728527,93.116073244916,144.680286684825,135.50076576395,145.166992840352,151.442382147181,154.969337912815,159.4108215,84.3830063336093,105.2689,148.892155423018
India,driving,2021-08-24,158.17,150.4834788,169.555484944382,131.446639349277,142.895131488764,166.768421237514,150,94.0581982339631,146.031222775176,116.00765657205,138.319351,46.757751085356,168.551078282294,155.29000322174,99.49953696,148.0977299,165.817605234075,134.130107893427,181.079068540302,91.576799181424,146.47064234977,137.724722258139,153.138710697537,151.442382147181,156.419936051566,161.8408243,83.6655400169955,106.4206,172.407380411372
India,driving,2021-08-25,159.21,150.0348186,156.522698314217,131.647159253537,143.824275001073,156.909276868866,148,94.0231539357175,147.664369815204,120.480725901453,137.8630779,48.001279290534,165.077869425591,164.736826208205,100.5527901,147.4489475,166.707190991451,136.947461700432,176.913022320058,89.4402209630332,148.464948365054,139.119219331287,159.823957567268,151.442382147181,157.981748976844,162.1219363,84.9114250663947,107.5723,174.308440226262
India,driving,2021-08-26,163.98,153.2483619,174.202589929532,134.42587923806,146.616597157849,155.919259065599,150,94.0372684816979,149.453234533707,123.02127087673,137.6263155,49.1550215299141,168.834650836474,189.557147300638,101.6060433,147.318375,169.494176451127,139.764815507437,177.192423128194,87.4323332408109,165.932777084309,136.998938634868,153.584138618485,151.442382147181,160.550791857899,160.3581002,85.6462088810088,100.8625,179.065744171071
India,driving,2021-08-27,185.73,168.1069431,156.483252604032,140.992443278308,155.753782418402,155.844457495892,152,93.9748270030011,171.720231351847,130.889417660759,138.5742125,58.5333818018636,175.627216729202,198.008295222706,102.6592965,147.6366456,175.303642668835,142.582169314442,228.012317042964,92.8109509285714,187.432988627966,143.319826777492,168.690425459204,160.49038240439,169.002311093949,159.3576924,85.8731489537532,102.0142,189.079512795855
India,driving,2021-08-28,216.31,174.1053551,170.256143423394,144.35367700857,157.319746129468,156.301140092079,168,96.5882931621389,187.988194561753,134.161666834406,147.7047925,68.6207345848521,185.209196962486,181.715255497628,103.7125497,150.2889005,179.961089574836,145.399523121447,273.057743249039,93.4785406776557,180.099922268741,151.31733481781,185.869547299917,160.49038240439,177.107724650143,158.9450802,83.9353347002821,103.1659,194.370504997481
India,driving,2021-08-29,184.76,168.0030048,156.562012661732,128.316468769848,140.869061441534,161.666259921835,177,93.9675867677977,171.418648268,117.532853253532,151.7321794,64.3320352811937,176.379580086716,151.172447133569,104.7658029,153.2839083,164.72242997415,128.495400279417,220.915420773149,94.7739210755336,156.653978178562,145.65198565584,169.720875618137,151.442382147181,158.996612792584,156.7599353,88.0542616270122,104.3176,174.733405664608
India,driving,2021-08-30,157.6,162.1667043,156.569797536439,130.425832843491,143.711238123112,170.089793703656,172,93.8956816148753,147.3231904816,119.21765149447,141.4348609,49.626797905247,168.674531094377,114.979555086551,98.44628378,151.5415809,166.505098704143,131.312754086422,152.657264567659,92.806462133805,148.906395371519,135.469903383458,145.736237300392,151.442382147181,149.584482146287,155.7960566,84.6460055883308,105.4693,176.389510973932
India,driving,2021-08-31,157.36,164.3701948,171.243417062832,131.446639349277,145.400513677663,167.577226065025,150,94.6023015613235,148.10023255947,120.698569975957,138.319351,47.6508845657251,172.290831579147,93.1827418648765,99.49953696,148.0977299,128.13609667033,134.130107893427,164.330713640682,90.7810496296999,150.060831838348,137.739887224886,151.437334918843,151.442382147181,155.214246960714,156.3386224,83.9285392891081,106.621,177.68940410094
India,driving,2021-09-01,154.84,164.7714868,156.520866879862,126.444131396458,146.418223276156,157.930234620592,148,94.1518177375869,149.604497439752,122.044363702755,137.8630779,48.8816784965202,168.806570605132,74.020482610473,100.5527901,147.4489475,133.221229787722,147.447182233433,215.172607429494,92.2232404285656,151.374153515491,139.069047131769,156.652391828287,151.442382147181,159.734702573168,156.499474,85.1744243135343,104.5179,162.416550268208
India,walking,2021-08-18,167.53,168.4846612,163.097873205262,127.191285813251,138.182461264935,161.616574781935,169,98.4986262372312,161.605810417797,111.79700539113,148.6756121,35.5067698790153,171.240021195627,185.038403611048,102.1987727,164.4716853,167.941831011676,130.473795033764,199.069878823104,100.69374195508,156.988821674229,141.692832265317,171.30192070498,157.446861189052,171.709723847016,167.632366,97.5678770736969,124.1463,170.052031207582
India,walking,2021-08-19,169.35,169.0489622,162.838511185621,129.970005797774,140.959222608728,160.557304882247,169,98.4402343789643,160.305222028599,114.337550366407,148.6756121,36.6064639109156,175.072477030682,186.148023541021,101.6060433,164.3977913,170.764095811634,133.291148840769,168.435128959766,100.539077456911,163.320261966039,139.289214465826,166.366138586445,157.446861189052,174.225799265429,166.1596951,98.3430636287299,120.0632,168.59713144749
India,walking,2021-08-20,173.34,176.7069168,170.774001151498,136.536569838022,150.075594813025,160.390700869422,170,98.469494404027,169.081845233553,122.205697150437,147.622142,40.5337108429519,181.629268163783,190.285864744749,102.6592965,164.3098736,175.914314692122,136.108502647774,180.989558436254,102.922279047619,175.906597161091,145.039258375918,168.497282284565,161.626707324756,181.881788926172,166.2765649,98.5852765779717,120.8208,183.090114761838
India,walking,2021-08-21,177.44,180.0396687,162.917522409803,139.897803568284,151.605814514277,160.937091643721,179,101.032025509509,179.140039145079,125.477946324083,152.1654057,45.9752498331719,191.483797092554,191.976818570483,103.7125497,164.3268638,180.821323195847,138.925856454779,231.251580079068,95.9307932857144,177.728132184386,152.799830702895,178.901695055165,161.626707324756,181.583381288673,167.8819814,96.5556155912568,121.5784,166.622544284039
India,walking,2021-08-22,169.94,177.7286583,175.131872049802,123.860595329563,135.055727307593,166.691953164943,181,98.3205890348347,174.406984301237,108.849132743209,153.9495859,44.1493473859515,182.669534425777,187.137067500938,104.7658029,164.3719014,165.185466114923,122.021733612749,199.540863402659,92.2848987619048,170.192236536049,147.355050196544,175.685133977725,157.446861189052,167.168327824653,169.7266647,100.88240456552,121.4115,169.316988516081
India,walking,2021-08-23,179.21,170.2109404,163.711804425813,125.969959403205,137.851447523139,174.835438747595,180,98.3348799439256,169.621079957095,110.533930984147,149.3258644,38.0533051434985,174.885446122715,176.457219689241,98.44628378,164.430693,167.399538862488,124.839087419754,188.962116210402,93.6911090661912,166.671248078809,137.319456202103,170.114016520218,157.446861189052,166.404995598592,169.7843452,97.3095391353092,122.169,148.892155423018
India,walking,2021-08-24,174.3,167.2881108,172.013620453111,126.990765908991,139.486147300529,169.114339194775,176,98.3641569563096,168.736309404718,112.014849465634,149.4093962,36.1231684078199,178.259009316777,177.412138412882,99.49953696,164.4644038,167.584320035519,127.656441226759,191.283115822046,98.3921185661912,168.065763797815,139.543412696292,177.39694772338,157.446861189052,169.778371039824,171.5136406,96.5606131560015,122.9266,172.407380411372
India,walking,2021-08-25,174.2,168.4846612,166.330233616668,127.191285813251,140.415290812839,159.29522509892,170,98.3011666680891,170.087974186743,116.487918795037,148.8430406,36.3960350915521,174.785800460074,184.535838338262,100.5527901,164.4716853,168.473905792895,130.473795033764,215.475369116324,100.298096288413,169.586551018811,140.93790976944,181.765285057555,157.446861189052,172.361774101037,172.027491,97.8721920573539,123.6841,174.308440226262
India,walking,2021-08-26,177.16,169.0489622,166.018031141722,129.970005797774,143.207612969614,158.24122849159,169,98.1447037704604,171.394112992056,119.028463770314,148.6756121,35.5329316839366,178.542581870957,206.583766399645,101.6060433,164.3977913,171.260891252571,133.291148840769,222.296651125916,100.978415288413,181.304848528372,138.817629073021,174.817572369287,157.446861189052,176.325703012327,170.2916351,98.6473786410715,119.601,179.065744171071
India,walking,2021-08-27,191.06,176.7069168,174.153741439056,136.536569838022,152.344798230167,158.082194914905,170,98.0523087251548,185.376223100121,126.896610554344,147.622142,41.3977985926312,185.335147763685,209.829756213831,102.6592965,164.3098736,177.070357470279,136.108502647774,205.175199803758,104.903401047619,194.347187450694,145.138517215645,184.727586125849,161.626707324756,184.404114525702,169.4638852,98.8895915937908,120.3586,189.079512795855
India,walking,2021-08-28,209.62,180.0396687,165.932733553438,139.897803568284,153.910761941233,158.521956921485,179,101.209262095291,194.088132528291,130.16885972799,152.1654057,46.8270174417557,194.917127996969,187.643670102385,103.7125497,164.3268638,181.72780437628,138.925856454779,223.381830774794,96.5058101666667,187.589839165348,153.136025255963,189.703453613242,161.626707324756,189.791641039163,169.1969115,96.8599305768674,121.1161,194.370504997481
India,walking,2021-08-29,185.92,177.7286583,176.962384061144,123.860595329563,137.4600772533,164.109859202456,181,98.0332996029904,181.618780136023,113.540046147117,153.9495859,44.9889705136974,186.087511121199,157.6776051211,104.7658029,164.3719014,166.489144775594,122.021733612749,194.497394660274,94.2992955000001,176.51114532822,147.470676093993,178.562194164529,157.446861189052,169.719045192203,167.8391068,101.186719551131,121.8737,174.733405664608
India,walking,2021-08-30,170.18,170.2109404,165.962135804709,125.969959403205,140.302253934877,172.548596949965,180,98.0526760688878,171.686570635662,115.224844388054,149.3258644,38.8809569461045,178.38246212886,126.239683761214,98.44628378,164.430693,168.271813505587,124.839087419754,247.382317907717,97.5604782328579,172.34874503482,137.288593821611,169.739742263881,157.446861189052,160.664327037629,167.0495363,97.6138541308879,122.6312,176.389510973932
India,walking,2021-08-31,173.35,167.2881108,173.164898806467,126.990765908991,141.991529489429,170.029220484394,176,98.6564219104934,170.778564588889,116.705762869541,149.4093962,36.9390195721344,181.99876261363,102.344387707961,99.49953696,164.4644038,129.902811471774,127.656441226759,241.051232901086,100.12036745508,169.884767676925,139.558577663039,172.820158520165,157.446861189052,167.110030064564,167.9273139,96.8649281683432,123.3888,177.68940410094
India,walking,2021-09-01,171.58,168.4846612,166.270663171324,121.988257956173,143.009239087922,160.509001244186,170,98.1605038052268,170.332825597676,118.05155659634,148.8430406,37.200253870775,178.514501639615,78.0973181998731,100.5527901,164.4716853,134.987944589166,140.973515566766,201.638071481051,100.024434403243,169.601584108721,140.887737569922,173.745234451228,157.446861189052,172.377059969273,167.9187886,98.1765070429643,122.3359,162.416550268208
Indonesia,driving,2021-08-18,86.9,96.2834613,96.1671352889817,125.196525272861,95.047182292577,85.1695177184395,95,102.00625857823,91.5812923657316,95.1288448729273,86.33990893,157.75262648097,88.1755337942572,95.0867414913542,100.0654419,78.64483344,126.120298670548,116.844070212846,116.208838856108,96.1289653547159,79.9532790195277,74.2036362390231,98.9154534898495,89.4878142873195,97.1029601160078,93.19996043,68.8146311222427,57.29217,87.0120160350778
Indonesia,driving,2021-08-19,87.68,86.26783135,86.2044149791224,127.975245257384,97.4495541644208,86.6708052646237,95,102.266324091688,89.0760893362309,97.6810748851972,86.33990893,159.125686322323,89.8342236272857,98.8934005078545,99.30915363,79.10999815,129.864296466929,119.661424019851,76.5997823519874,94.3284653761062,92.5856899468545,75.4020786718858,93.1171301588542,89.4878142873195,96.2108129148514,91.74602701,70.0523428635155,44.68845,91.4530429439949
Indonesia,driving,2021-08-20,106.15,101.3938332,86.9881970656277,134.541809297632,106.193544828569,87.6595353243091,86.9,102.054809618004,99.6792825693959,105.56090670622,86.64667418,177.945136111875,104.346986056802,117.891497058245,104.4642101,79.31401776,134.464401208192,122.478777826856,79.2680516803573,108.179039552503,102.513934742574,85.5511107588085,102.464580969328,111.48233439441,105.740261219822,93.12037846,70.657507095721,46.75423,100.893647860274
Indonesia,driving,2021-08-21,118.27,116.6887023,86.9510752500667,137.903043027894,107.374705995254,89.4760774255959,103,101.803543565092,112.945891803938,108.844840916859,97.56689609,192.806281847569,114.991156005805,128.537244893197,109.6192666,86.0181021,140.044461949233,125.296131633861,155.73469578626,102.470224547619,85.0653945059359,96.102032232024,118.353398957521,111.48233439441,112.731707105745,93.26577182,73.0672573734168,48.82001,106.192054157876
Indonesia,driving,2021-08-22,99.71,99.48595359,86.5459090490076,121.865834789172,90.5141695208311,102.305274063803,119,101.925791129331,99.965130471835,92.2277123729787,101.3800176,167.78873648884,98.133082160014,106.499254631907,114.7743232,90.64934721,124.583060013666,108.392008791831,128.243131535072,100.204532234849,81.7321641044548,76.188091471807,105.730097363345,89.4878142873195,97.8738247792883,94.28783875,77.2677350458896,51.30385,87.192364696488
Indonesia,driving,2021-08-23,91.03,87.69773735,96.202568174763,123.975198862815,92.9749706571194,112.388062548996,97.1,102.328121016549,91.4263581372041,93.9241956509094,88.59217904,159.236689287985,90.9759220954653,104.706678552815,83.84398411,81.46438443,126.574993254595,111.209362598836,96.5559689431129,97.1543533155002,84.2602862111022,69.8961141019957,94.3376378130325,89.4878142873195,96.4490765773247,94.86954414,71.1435100795603,53.36963,88.7816052794055
Indonesia,driving,2021-08-24,90.17,96.34386997,87.8234177653659,124.996005368601,94.2299244591669,89.3397077879912,88.4,102.245747999448,94.5088839652627,95.4167991693895,87.25348028,161.406754663477,93.4657829838109,115.938865342935,88.99904061,78.47345697,126.475379973463,114.026716405841,96.317979486383,97.1620498068735,88.1492666803034,71.4650357398188,101.323329877006,89.4878142873195,98.064066868971,93.98632904,68.386017806731,55.43541,89.7037383053007
Indonesia,driving,2021-08-25,92.75,96.2834613,101.221787986574,125.196525272861,94.7312524368531,81.7453465079827,96,102.311858206784,95.8802314665704,100.065144053688,86.87102482,164.325788128704,94.1131595999089,127.38636143953,94.15409712,78.64483344,127.765020414839,116.844070212846,120.49651032763,96.8391625059763,86.8801298003645,73.194462560836,104.626348631292,89.4878142873195,100.560112853692,94.5149518,69.0069813908806,57.50119,91.4259889558706
Indonesia,driving,2021-08-26,93.2,86.26783135,89.7627174889937,127.975245257384,97.2729650703511,83.2796322054512,95,102.225198307035,92.852512952099,102.617374065958,86.33990893,165.315284989989,95.5188254589626,149.173494281952,99.30915363,79.10999815,130.89654171518,119.661424019851,105.298987545361,95.6644746880492,102.7684106615,75.0085138081483,96.8780340575978,89.4878142873195,102.5210159811,94.03320724,69.8722557466208,44.89747,95.7057488945811
